Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Armadyl chestplate,-7,-7,-7,-15,33,56,48,61,70,57,0,0,0,1,4
Inquisitor's hauberk,-3,-3,12,-11,-10,67,55,71,0,35,4,0,0,2,9.979
Justiciar chestguard,0,0,0,-40,-20,132,130,117,-16,142,0,0,0,4,9.979
Fighter torso,0,0,0,-40,0,62,85,62,-10,67,4,0,0,0,4
Bronze platebody,0,0,0,-30,-15,15,14,9,-6,14,0,0,0,0,9.979
Iron platebody,0,0,0,-30,-15,21,20,12,-6,20,0,0,0,0,9.979
Steel platebody,0,0,0,-30,-15,32,31,24,-6,31,0,0,0,0,9.979
Black platebody,0,0,0,-30,-15,41,40,30,-6,40,0,0,0,0,9.979
White platebody,0,0,0,-30,-15,41,40,30,-6,40,0,0,0,1,9.979
Mithril platebody,0,0,0,-30,-15,46,44,38,-6,44,0,0,0,0,8.618
Initiate hauberk,0,0,0,-30,-15,46,44,38,-6,44,0,0,0,6,8.618
Adamant platebody,0,0,0,-30,-15,65,63,55,-6,63,0,0,0,0,11.339
Proselyte hauberk,0,0,0,-30,-15,65,63,55,-6,63,0,0,0,8,8.618
Rune platebody,0,0,0,-30,-15,82,80,72,-6,80,0,0,0,0,9.979
God platebody,0,0,0,-30,-15,82,80,72,-6,80,0,0,0,1,9.979
Sunfire fanatic cuirass,0,0,0,-30,-15,82,80,72,-6,80,0,0,0,10,8.618
Varrock armour 1,0,0,0,-30,-10,32,31,24,-6,31,0,0,0,0,1
Varrock armour 2,0,0,0,-30,-10,41,40,30,-6,40,0,0,0,0,1
Varrock armour 3,0,0,0,-30,-10,46,44,38,-6,44,0,0,0,0,1
Varrock armour 4,0,0,0,-30,-10,65,63,55,-6,63,0,0,0,0,1
Rock-shell plate,0,0,0,-30,-10,82,80,72,-6,80,0,0,0,0,9.979
Dharok's platebody,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979
Guthan's platebody,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979
Torag's platebody,0,0,0,-30,-10,122,120,107,-6,132,0,0,0,0,9.979
