Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Flippers,-2,-2,-2,0,0,0,1,1,0,0,0,0,0,0,0.34
Pegasian boots,0,0,0,-12,12,5,5,5,5,5,0,0,0,0,1.814
Snakeskin boots,0,0,0,-10,3,1,1,2,1,0,0,0,0,0,0.34
Mixed hide boots,0,0,0,-10,5,4,5,6,3,3,2,0,0,0,2
God d'hide boots,0,0,0,-10,7,4,4,4,4,4,0,0,0,1,1.4
Ranger boots,0,0,0,-10,8,2,3,4,2,0,0,0,0,0,0.283
Frog-leather boots,0,0,0,-8,2,1,1,1,0,1,0,0,0,0,1
Bandos boots,0,0,0,-5,-3,17,18,19,0,15,0,0,0,1,6
Spiked manacles,0,0,0,-3,-1,0,0,0,-4,0,4,0,0,0,3
Bronze boots,0,0,0,-3,-1,1,2,3,0,0,0,0,0,0,1.36
Fremennik sea boots 1,0,0,0,-3,-1,2,3,4,0,0,0,0,0,0,0.4
Iron boots,0,0,0,-3,-1,2,3,4,0,0,0,0,0,0,1.36
Fremennik sea boots 2,0,0,0,-3,-1,5,6,7,0,0,0,0,0,0,0.4
Steel boots,0,0,0,-3,-1,5,6,7,0,0,0,0,0,0,1.36
Black boots,0,0,0,-3,-1,7,8,9,0,0,0,0,0,0,1.36
Fremennik sea boots 3,0,0,0,-3,-1,7,8,9,0,0,0,0,0,0,0.4
White boots,0,0,0,-3,-1,7,8,9,0,0,0,0,0,1,1.36
Mithril boots,0,0,0,-3,-1,8,9,10,0,0,0,0,0,0,1.36
Adamant boots,0,0,0,-3,-1,10,11,12,0,0,1,0,0,0,1.36
Gilded boots,0,0,0,-3,-1,12,13,14,0,0,2,0,0,0,1.36
Rune boots,0,0,0,-3,-1,12,13,14,0,0,2,0,0,0,1.36
Granite boots,0,0,0,-3,-1,15,16,17,0,8,3,0,0,0,2.721
Dragon boots,0,0,0,-3,-1,16,17,18,0,0,4,0,0,0,1
Guardian boots,0,0,0,-3,-1,32,32,32,-3,24,3,0,0,2,7
Echo boots,0,0,0,-3,-1,32,32,32,-3,24,3,0,0,4,7
Shayzien boots (1),0,0,0,-2,-1,1,2,3,0,0,0,0,0,0,1.36
Shayzien boots (2),0,0,0,-2,-1,2,3,4,0,0,0,0,0,0,1.36
Shayzien boots (3),0,0,0,-2,-1,4,5,6,0,0,0,0,0,0,1.36
Shayzien boots (4),0,0,0,-2,-1,5,6,7,0,0,0,0,0,0,1.36
Shayzien boots (5),0,0,0,-2,4,5,7,8,0,0,0,0,0,0,1.36
Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient ceremonial boots,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3
Zealot's boots,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.283
Holy sandals,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5
Devout boots,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5
Silly jester boots,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,1.36
Leather boots,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.34
Citizen shoes,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Vyrewatch shoes,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.907
Climbing boots,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0.34
Insulated boots,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1.36
Boots of stone,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3.175
Rogue boots,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0.453
Samurai boots,0,0,0,0,0,11,12,13,1,0,0,0,0,0,0.95
Runner boots,0,0,0,1,1,8,8,8,0,0,0,0,0,0,0.34
Fremennik sea boots 4,0,0,0,1,1,10,11,12,0,0,1,0,0,0,0.4
Moonclan boots,0,0,0,2,-5,2,2,2,2,-5,0,0,0,0,0.907
Lunar boots,0,0,0,2,-1,1,2,2,2,0,0,0,0,0,0.907
Splitbark boots,0,0,0,2,-1,3,2,4,2,0,0,0,0,0,0.907
Ghostly boots,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.001
Mystic boots,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.453
Swampbark boots,0,0,0,3,0,4,3,5,4,0,0,0,0,0,0.907
Wizard boots,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0.283
Bloodbark boots,0,0,0,4,0,5,4,6,5,0,0,0,0,0,0.907
Infinity boots,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.453
Aranea boots,0,0,0,5,6,0,0,0,0,0,4,0,0,1,1
Eternal boots,0,0,0,8,0,5,5,5,8,5,0,0,0.01,0,1.814
Primordial boots,2,2,2,-4,-1,22,22,22,0,0,5,0,0,0,1.814
Boots of brimstone,3,0,0,3,5,10,10,10,5,5,0,0,0,0,3.175
Avernic treads,5,5,5,11,15,21,25,25,10,10,4,2,0.01,0,1.814
Avernic treads (et),5,5,5,11,15,21,25,25,10,10,4,2,0.02,0,1.814
Avernic treads (pe),5,5,5,11,15,21,25,25,10,10,4,3,0.01,0,1.814
Avernic treads (pe)(et),5,5,5,11,15,21,25,25,10,10,4,3,0.02,0,1.814
Avernic treads (pr),5,5,5,11,15,21,25,25,10,10,6,2,0.01,0,1.814
Avernic treads (pr)(et),5,5,5,11,15,21,25,25,10,10,6,2,0.02,0,1.814
Avernic treads (pr)(pe),5,5,5,11,15,21,25,25,10,10,6,3,0.01,0,1.814
Avernic treads (max),5,5,5,11,15,21,25,25,10,10,6,3,0.02,0,1.814
