Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Zaryte vambraces,-8,-8,-8,0,18,8,8,8,5,8,0,2,0,1,1
Green d'hide vambraces,0,0,0,-10,8,1,2,2,2,0,0,0,0,0,0.283
Green spiky vambraces,0,0,0,-10,8,3,2,4,2,0,2,0,0,0,0.283
Blue d'hide vambraces,0,0,0,-10,9,2,3,3,4,0,0,0,0,0,0.283
Blue spiky vambraces,0,0,0,-10,9,4,3,5,4,0,2,0,0,0,0.283
Red d'hide vambraces,0,0,0,-10,10,3,4,4,6,0,0,0,0,0,0.283
Red spiky vambraces,0,0,0,-10,10,5,4,6,6,0,2,0,0,0,0.283
Ranger gloves,0,0,0,-10,11,1,2,1,2,0,0,0,0,0,0.226
Black d'hide vambraces,0,0,0,-10,11,4,5,5,8,0,0,0,0,0,0.283
God bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,1
Hueycoatl hide vambraces,0,0,0,-10,11,6,5,7,8,0,0,0,0,1,0.283
Black spiky vambraces,0,0,0,-10,11,6,5,7,8,0,2,0,0,0,0.283
3rd age vambraces,0,0,0,-10,11,6,5,7,9,0,0,0,0,0,1
Snakeskin vambraces,0,0,0,-5,6,2,2,2,1,0,0,0,0,0,0.283
Shayzien gloves (1),0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0.226
Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient ceremonial gloves,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
Holy wraps,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5
Leather gloves,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.226
White gloves,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.226
Ice gloves,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0.226
Pirate's hook,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0.3
Rogue gloves,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0.453
Crab claw,0,0,0,0,0,3,4,2,0,0,1,0,0,0,0.907
Crabclaw hook,0,0,0,0,0,3,5,3,0,0,1,0,0,0,1
Slayer gloves,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0.226
Void knight gloves,0,0,0,0,0,6,6,6,4,6,0,0,0,0,0.453
Leather vambraces,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0.226
Spiky vambraces,0,0,0,0,4,2,2,1,0,0,2,0,0,0,0.226
Moonclan gloves,0,0,0,2,-5,2,2,2,2,-5,0,0,0,0,0.907
Splitbark gauntlets,0,0,0,2,-1,3,2,4,2,0,0,0,0,0,0.907
Ghostly gloves,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.001
Mystic gloves,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0.453
Swampbark gauntlets,0,0,0,3,0,4,3,5,4,0,0,0,0,0,0.907
Lunar gloves,0,0,0,4,-1,2,1,1,2,0,0,0,0,0,0.907
Bloodbark gauntlets,0,0,0,4,0,5,4,6,5,0,0,0,0,0,0.907
Infinity gloves,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0.453
Tormented bracelet,0,0,0,10,0,0,0,0,0,0,0,0,0.05,2,0.25
Confliction gauntlets,0,0,0,20,-4,15,18,7,5,5,0,0,0.07,2,0.226
Shayzien gloves (2),0,0,1,-1,0,0,0,1,-1,0,1,0,0,0,0.226
Shayzien gloves (3),0,0,2,-1,0,0,0,1,-1,0,2,0,0,0,0.226
Shayzien gloves (4),0,0,2,-1,0,0,1,2,-1,1,2,0,0,0,0.226
Shayzien gloves (5),0,0,2,-1,6,0,2,3,-1,2,3,0,0,0,0.226
Hardleather gloves,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226
Karamja gloves 1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226
Karamja gloves 2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226
Karamja gloves 3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226
Karamja gloves 4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.226
Chaos gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226
Cooking gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226
Goldsmith gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226
Klank's gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226
Steel gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0,0,0.226
Samurai gloves,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0.4
Granite gloves,5,5,9,-3,-1,8,8,8,-3,5,7,0,0,0,1
Combat bracelet,7,7,7,3,7,5,5,5,3,5,6,0,0,0,0.25
Dragonstone gauntlets,8,8,8,-4,-3,8,8,8,-4,4,4,0,0,0,0.226
Regen bracelet,8,8,8,3,7,6,6,6,3,6,7,0,0,0,0.25
Ferocious gloves,16,16,16,-16,-16,0,0,0,0,0,14,0,0,0,0.226
