Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Spined helm,-6,-6,-6,-6,6,6,6,6,6,0,0,0,0,0,2.721
Archer helm,-5,-5,-5,-5,6,6,8,10,6,6,0,0,0,0,2.721
Ranger hat,-5,-5,-5,-5,6,7,10,11,5,8,0,0,0,0,2
Armadyl helmet,-5,-5,-5,-5,10,6,8,10,10,8,0,0,0,1,0.5
Healer hat,-5,-5,-5,6,-5,6,8,10,7,0,0,0,0,0,2
Farseer helm,-5,-5,-5,6,-5,8,10,12,6,0,0,0,0,0,2.721
Inquisitor's great helm,-2,-2,8,-5,-5,19,10,21,0,12,4,0,0,1,2.721
Potato sack,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0.3
Robin hood hat,0,0,0,-10,8,4,6,8,4,4,0,0,0,0,0.283
Crystal helm,0,0,0,-10,9,12,8,14,10,18,0,0,0,2,0.5
Granite helm,0,0,0,-9,-7,31,33,29,-1,39,0,0,0,0,4.535
Bronze full helm,0,0,0,-6,-3,4,5,3,-1,4,0,0,0,0,2.721
Iron full helm,0,0,0,-6,-3,6,7,5,-1,6,0,0,0,0,2.721
Steel full helm,0,0,0,-6,-3,9,10,7,-1,9,0,0,0,0,2.721
Black full helm,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,0,2.721
White full helm,0,0,0,-6,-3,12,13,10,-1,12,0,0,0,1,2.721
Mithril full helm,0,0,0,-6,-3,13,14,11,-1,13,0,0,0,0,2.267
Initiate sallet,0,0,0,-6,-3,13,14,11,-1,13,0,0,0,3,2.267
Elite black full helm,0,0,0,-6,-3,13,14,11,-1,13,0,0,0,4,2.721
Adamant full helm,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,0,3.175
Proselyte sallet,0,0,0,-6,-3,19,21,16,-1,19,0,0,0,4,2.267
Rune full helm,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,0,2.721
God full helm,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,1,2.721
Sunfire fanatic helm,0,0,0,-6,-3,30,32,27,-1,30,0,0,0,6,2.267
Dragon full helm,0,0,0,-6,-3,45,48,41,-1,46,0,0,0,0,2
Blacksmith's helm,0,0,0,-6,-2,6,7,5,-1,6,0,0,0,0,1.814
Shaman mask,0,0,0,-6,-2,6,7,5,-1,6,0,0,0,0,2.721
Shayzien helm (3),0,0,0,-6,-2,7,10,8,-2,9,0,0,0,0,2.721
Shayzien helm (4),0,0,0,-6,-2,8,12,10,-2,11,0,0,0,0,2.721
Tyras helm,0,0,0,-6,-2,9,10,7,-1,9,0,0,0,0,0.907
Spiny helmet,0,0,0,-6,-2,9,10,7,-1,9,0,0,0,0,2.267
Fremennik helm,0,0,0,-6,-2,19,21,16,-1,19,0,0,0,0,2.721
Blood moon helm,0,0,0,-6,-2,20,31,34,7,29,4,0,0,0,1
Slayer helmet,0,0,0,-6,-2,30,32,27,-1,30,0,0,0,0,2.267
Rock-shell helm,0,0,0,-6,-2,30,32,27,-1,30,0,0,0,0,2.721
Guthan's helm,0,0,0,-6,-2,55,58,54,-1,62,0,0,0,0,2.721
Torag's helm,0,0,0,-6,-2,55,58,54,-1,62,0,0,0,0,2.721
Verac's helm,0,0,0,-6,-2,55,58,54,0,56,0,0,0,3,1.36
Justiciar faceguard,0,0,0,-6,-2,60,63,59,-6,67,0,0,0,2,2.721
Shayzien helm (5),0,0,0,-6,4,10,14,12,-2,13,0,0,0,0,2.721
Eclipse moon helm,0,0,0,-6,8,2,3,14,10,4,3,0,0,0,0.907
Berserker helm,0,0,0,-5,-5,31,29,33,0,30,3,0,0,0,2.721
Serpentine helm,0,0,0,-5,-5,52,55,58,0,50,5,0,0,0,0.9
Torva full helm,0,0,0,-5,-5,59,60,62,-2,57,8,0,0,1,2.721
Shayzien helm (1),0,0,0,-5,-2,3,5,4,-1,5,0,0,0,0,2.721
Shayzien helm (2),0,0,0,-5,-2,5,8,6,-1,7,0,0,0,0,2.721
3rd age full helmet,0,0,0,-5,-2,47,49,43,-3,48,0,0,0,0,0.907
Snakeskin bandana,0,0,0,-5,4,2,4,4,2,2,0,0,0,0,0.907
Bearhead,0,0,0,-3,-3,12,14,10,7,9,0,0,0,0,0.453
Kandarin headgear 1,0,0,0,-3,-1,4,5,3,-1,4,0,0,0,0,0.01
Mining helmet,0,0,0,-3,-1,4,5,3,-1,4,0,0,0,0,0.907
Crab helmet,0,0,0,-3,-1,5,4,3,-1,4,0,0,0,0,0.907
Kandarin headgear 2,0,0,0,-3,-1,7,8,6,-1,7,0,0,0,0,0.01
Snelm,0,0,0,-3,-1,7,8,6,-1,7,0,0,0,0,2
Kandarin headgear 3,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,0.01
Black mask,0,0,0,-3,-1,9,10,8,-1,9,0,0,0,0,10
Kandarin headgear 4,0,0,0,-3,-1,10,11,9,-1,10,0,0,0,0,0.01
Dharok's helm,0,0,0,-3,-1,45,48,44,-1,51,0,0,0,0,1.814
Bronze med helm,0,0,0,-3,0,3,4,2,-1,3,0,0,0,0,1.814
Iron med helm,0,0,0,-3,0,4,5,3,-1,4,0,0,0,0,1.814
Steel med helm,0,0,0,-3,0,7,8,6,-1,7,0,0,0,0,1.814
Black med helm,0,0,0,-3,0,9,10,8,-1,9,0,0,0,0,1.814
White med helm,0,0,0,-3,0,9,10,8,-1,9,0,0,0,1,1.814
Mithril med helm,0,0,0,-3,0,10,11,9,-1,10,0,0,0,0,1.36
Adamant med helm,0,0,0,-3,0,14,15,13,-1,14,0,0,0,0,2.267
Rune med helm,0,0,0,-3,0,22,23,21,-1,22,0,0,0,0,1.814
Dragon med helm,0,0,0,-3,0,33,35,32,-1,34,0,0,0,0,1.36
3rd age range coif,0,0,0,-2,9,4,7,10,5,8,0,0,0,0,1
Coif,0,0,0,-1,2,4,6,8,4,4,0,0,0,0,0.907
God d'hide coif,0,0,0,-1,7,4,7,10,4,8,0,0,0,1,0.9
Hueycoatl hide coif,0,0,0,-1,7,4,7,10,5,8,0,0,0,2,0.9
Karil's coif,0,0,0,-1,7,6,9,12,6,10,0,0,0,0,0.907
Masori mask,0,0,0,-1,12,3,4,3,6,4,0,2,0,0,1
Masori mask (f),0,0,0,-1,12,8,10,12,12,9,0,2,0,1,1.5
Ram skull helm,0,0,0,0,-2,19,21,16,0,19,0,0,0,0,3.175
Graahk headdress,0,0,0,0,-1,4,5,3,0,4,0,0,0,0,0.226
Kyatt hat,0,0,0,0,-1,4,5,3,0,4,0,0,0,0,0.226
Larupia hat,0,0,0,0,-1,4,5,3,0,4,0,0,0,0,0.226
Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zealot's helm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.267
Ancient ceremonial mask,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3
Elemental helmet,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.113
