Name,Stab Acc,Slash Acc,Crush Acc,Mage Acc,Range Acc,Stab Def,Slash Def,Crush Def,Mage Def,Range Def,Melee Str,Range Str,Mage Dmg,Prayer,Weight
Hard leather shield,-15,-15,-11,-10,2,8,7,7,5,9,0,0,0,0,7
Snakeskin shield,-15,-15,-11,-10,3,10,9,8,7,10,0,0,0,0,8
Green d'hide shield,-15,-15,-11,-10,4,14,12,11,9,11,0,0,0,0,8
Blue d'hide shield,-15,-15,-11,-10,5,16,14,12,12,12,0,0,0,0,8
Red d'hide shield,-15,-15,-11,-10,6,18,16,14,13,13,0,0,0,0,8
Black d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,0,8
God d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,0,1,8
Odium ward,-12,-12,-12,-8,12,0,0,0,24,52,0,4,0,0,3.628
Dragonfire ward (Charged),-10,-10,-10,-10,15,25,30,28,28,68,-2,8,0,0,4.082
Malediction ward,-8,-8,-8,12,-12,50,52,48,15,0,0,0,0.02,0,3.628
Twisted buckler,-7,-8,-7,-10,18,22,24,22,26,58,0,10,0,0,5.443
Aquanite hopper,-5,-5,-3,-13,12,0,0,0,0,0,0,1,0,0,0.01
Granite shield,0,0,0,-12,-8,40,42,38,0,65,0,0,0,0,6.803
Toktz-ket-xil,0,0,0,-12,-8,40,42,38,0,65,5,0,0,0,3.628
Neitiznot shield,0,0,0,-10,-10,17,17,31,-4,33,0,0,0,0,3.628
Crystal shield,0,0,0,-10,-10,51,54,53,0,80,0,0,0,0,2.721
Dragonfire shield (Charged),0,0,0,-10,-5,70,75,72,10,72,7,0,0,0,7.257
3rd age kiteshield,0,0,0,-10,-4,63,65,61,-3,63,0,0,0,0,2.721
Bronze kiteshield,0,0,0,-8,-3,5,7,6,-1,6,0,0,0,0,5.443
Iron kiteshield,0,0,0,-8,-3,8,10,9,-1,9,0,0,0,0,5.443
Steel kiteshield,0,0,0,-8,-3,13,15,14,-1,14,0,0,0,0,5.443
Black kiteshield,0,0,0,-8,-3,17,19,18,-1,18,0,0,0,0,5.443
White kiteshield,0,0,0,-8,-3,17,19,18,-1,18,0,0,0,1,5.443
Mithril kiteshield,0,0,0,-8,-3,18,22,20,-1,20,0,0,0,0,4.535
Adamant kiteshield,0,0,0,-8,-3,27,31,29,-1,29,0,0,0,0,5.896
Rune kiteshield,0,0,0,-8,-3,44,48,46,-1,46,0,0,0,0,5.443
Dragon kiteshield,0,0,0,-8,-3,56,60,58,-1,58,0,0,0,0,6.803
Falador shield 1,0,0,0,-8,-2,8,10,9,-1,9,0,0,0,1,5.443
Falador shield 2,0,0,0,-8,-2,13,15,14,-1,14,0,0,0,3,5.443
Falador shield 3,0,0,0,-8,-2,18,22,20,-1,20,0,0,0,4,5.443
Fremennik shield,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,0,2.267
Falador shield 4,0,0,0,-8,-2,27,31,29,-1,29,0,0,0,5,5.443
God kiteshield,0,0,0,-8,-2,44,48,46,-1,46,0,0,0,1,5.443
Cabbage round shield,0,0,0,-6,-2,24,26,22,0,24,0,0,0,0,4.535
Bronze sq shield,0,0,0,-6,0,5,6,4,0,5,0,0,0,0,3.628
Iron sq shield,0,0,0,-6,0,8,9,7,0,8,0,0,0,0,3.628
Steel sq shield,0,0,0,-6,0,12,13,11,0,12,0,0,0,0,3.628
Black sq shield,0,0,0,-6,0,15,16,14,0,15,0,0,0,0,3.628
White sq shield,0,0,0,-6,0,15,16,14,0,15,0,0,0,1,3.628
Mithril sq shield,0,0,0,-6,0,17,19,15,0,17,0,0,0,0,3.175
Adamant sq shield,0,0,0,-6,0,24,26,22,0,24,0,0,0,0,4.082
Rune sq shield,0,0,0,-6,0,38,40,36,0,38,0,0,0,0,3.628
Dragon sq shield,0,0,0,-6,0,50,52,48,0,50,0,0,0,0,3.175
Nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kharedst's memoirs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
Damaged book,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Book of war,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1
Elemental shield,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.226
Mind shield,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.226
Wooden shield,0,0,0,0,0,4,5,3,1,4,0,0,0,0,2.267
Oak shield,0,0,0,0,0,5,6,4,1,5,0,0,0,0,3.175
Willow shield,0,0,0,0,0,6,7,5,2,6,0,0,0,0,3.175
Maple shield,0,0,0,0,0,7,8,6,2,7,0,0,0,0,3.175
Anti-dragon shield,0,0,0,0,0,7,9,8,2,8,0,0,0,0,5.443
Holy book,0,0,0,0,0,8,8,8,8,8,0,0,0,5,1
Yew shield,0,0,0,0,0,8,9,7,3,8,0,0,0,0,3.175
Magic shield,0,0,0,0,0,10,13,9,3,9,0,0,0,0,3.175
Mirror shield,0,0,0,0,0,10,15,5,5,10,0,0,0,0,2.267
Redwood shield,0,0,0,0,0,12,15,11,4,10,0,0,0,0,3.175
V's shield,0,0,0,0,0,27,31,29,5,29,0,0,0,0,2.267
Spirit shield,0,0,0,0,0,39,41,50,1,45,0,0,0,1,2
Blessed spirit shield,0,0,0,0,0,53,55,73,2,52,0,0,0,3,2
Spectral spirit shield,0,0,0,0,0,53,55,73,30,52,0,0,0,3,2
Elysian spirit shield,0,0,0,0,0,63,65,75,2,57,0,0,0,3,2
Book of law,0,0,0,0,10,0,0,0,0,0,0,0,0,5,1
Broodoo shield,0,0,0,3,-7,10,10,15,5,0,0,0,0,5,5.443
Elidinis' ward,0,0,0,5,0,5,3,9,0,6,0,0,0.03,1,0.708
Arcane grimoire,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0.3
Book of the dead,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0.2
Tome of earth,0,0,0,8,0,0,0,0,8,0,0,0,0,0,1
Tome of fire,0,0,0,8,0,0,0,0,8,0,0,0,0,0,1
Tome of water,0,0,0,8,0,0,0,0,8,0,0,0,0,0,1
Book of darkness,0,0,0,10,0,0,0,0,0,0,0,0,0,5,1
Mage's book,0,0,0,15,0,0,0,0,15,0,0,0,0.02,0,1
Devil's element,0,0,0,20,0,0,0,0,0,0,0,0,0.06,3,0.2
Arcane spirit shield,0,0,0,20,0,53,55,73,2,52,0,0,0.03,3,2
Elidinis' ward (f),0,0,0,25,0,53,55,73,2,52,0,0,0.05,4,3.708
Bronze defender,3,2,1,-3,-2,3,2,1,-3,-2,0,0,0,0,0.453
Book of balance,4,4,4,4,4,4,4,4,4,4,0,0,0,5,1
Iron defender,5,4,3,-3,-2,5,4,3,-3,-2,0,0,0,0,0.453
Steel defender,7,6,5,-3,-2,7,6,5,-3,-2,1,0,0,0,0.453
Unholy book,8,8,8,8,8,0,0,0,0,0,0,0,0,5,1
Black defender,9,8,7,-3,-2,9,8,7,-3,-2,2,0,0,0,0.453
Mithril defender,10,9,8,-3,-2,10,9,8,-3,-2,3,0,0,0,0.453
Adamant defender,13,12,11,-3,-2,13,12,11,-3,-2,4,0,0,0,0.453
